1,2,3
-0.0007669903939433453,-0.0003834951969707845,0.0
-0.0015339807878849143,-0.0003834951969707845,0.0
-0.0015339807878849143,-0.0003834951969707845,0.0
-0.0019174759848574752,-0.0007669903939433453,0.0
-0.0015339807878849143,-0.0007669903939433453,0.0
-0.0015339807878849143,-0.0007669903939433453,0.0
-0.0015339807878849143,-0.0007669903939433453,0.0
-0.0023009711818282597,-0.0015339807878849143,0.0
-0.0023009711818282597,-0.0019174759848574752,0.0
-0.0023009711818282597,-0.0019174759848574752,0.0
-0.003067961575771605,-0.0023009711818282597,0.0
-0.004218447166685735,-0.0023009711818282597,0.0
-0.0065194183485139945,-0.0023009711818282597,0.0
-0.010354370318228945,-0.0023009711818282597,0.0
-0.013422331893998773,-0.0023009711818282597,0.0
-0.014189322287942119,-0.0023009711818282597,0.0
-0.014572817484912903,-0.0023009711818282597,0.0
-0.014956312681885464,-0.0023009711818282597,0.0
-0.014956312681885464,-0.0023009711818282597,0.0
-0.014956312681885464,-0.0023009711818282597,0.0
-0.014572817484912903,-0.002684466378799044,0.0
-0.014956312681885464,-0.0023009711818282597,0.0
-0.014956312681885464,-0.0023009711818282597,0.0
-0.014956312681885464,-0.0023009711818282597,0.0
-0.015339807878856249,-0.0023009711818282597,0.0
-0.015723303075827033,-0.0023009711818282597,0.0
-0.015339807878856249,-0.0023009711818282597,0.0
-0.015339807878856249,-0.0023009711818282597,0.0
-0.015723303075827033,-0.0023009711818282597,0.0
-0.015723303075827033,-0.0023009711818282597,0.0
-0.015723303075827033,-0.0023009711818282597,0.0
-0.016106798272799594,-0.0023009711818282597,0.0
-0.01649029346977038,-0.0023009711818282597,0.0
-0.01649029346977038,-0.0023009711818282597,0.0
-0.01687378866674294,-0.0023009711818282597,0.0
-0.01687378866674294,-0.0023009711818282597,0.0
-0.017257283863713724,-0.002684466378799044,0.0
-0.01687378866674294,-0.0023009711818282597,0.0
-0.017257283863713724,-0.002684466378799044,0.0
-0.017257283863713724,-0.002684466378799044,-0.0003834951969707845
-0.017257283863713724,-0.003067961575771605,0.0
-0.01764077906068451,-0.002684466378799044,0.0
-0.017257283863713724,-0.003067961575771605,0.0
-0.017257283863713724,-0.002684466378799044,-0.0003834951969707845
-0.017257283863713724,-0.003067961575771605,0.0003834951969707845
-0.017257283863713724,-0.003067961575771605,0.0003834951969707845
-0.01764077906068451,-0.002684466378799044,0.0
-0.017257283863713724,-0.003067961575771605,0.0
-0.017257283863713724,-0.002684466378799044,0.0
-0.01764077906068451,-0.003067961575771605,0.0
-0.01764077906068451,-0.003067961575771605,0.0
-0.01764077906068451,-0.003067961575771605,0.0
-0.01764077906068451,-0.002684466378799044,0.0
-0.01764077906068451,-0.003067961575771605,0.0
-0.01764077906068451,-0.003067961575771605,0.0
-0.01764077906068451,-0.003067961575771605,0.0
-0.01802427425765707,-0.003067961575771605,0.0
-0.01764077906068451,-0.003067961575771605,0.0
-0.01802427425765707,-0.003067961575771605,0.0
-0.01802427425765707,-0.003067961575771605,0.0
-0.01802427425765707,-0.003067961575771605,0.0
-0.01802427425765707,-0.003067961575771605,0.0
-0.01764077906068451,-0.003067961575771605,0.0
-0.018407769454627854,-0.003067961575771605,0.0
-0.01802427425765707,-0.003067961575771605,0.0
-0.01802427425765707,-0.003067961575771605,0.0
-0.01802427425765707,-0.003067961575771605,0.0
-0.01802427425765707,-0.003067961575771605,0.0
-0.01802427425765707,-0.003067961575771605,0.0
-0.01802427425765707,-0.0034514567727423895,0.0
-0.018407769454627854,-0.003067961575771605,0.0
-0.01802427425765707,-0.003067961575771605,0.0
-0.01802427425765707,-0.003067961575771605,0.0
-0.018407769454627854,-0.003067961575771605,0.0
-0.018407769454627854,-0.003067961575771605,0.0
-0.018407769454627854,-0.003067961575771605,0.0
-0.01802427425765707,-0.003067961575771605,0.0
-0.01802427425765707,-0.003067961575771605,0.0
-0.018407769454627854,-0.003067961575771605,0.0
-0.01802427425765707,-0.003067961575771605,0.0003834951969707845
-0.01802427425765707,-0.003067961575771605,0.0
-0.018407769454627854,-0.003067961575771605,0.0
-0.018407769454627854,-0.003067961575771605,0.0
-0.018407769454627854,-0.003067961575771605,0.0
-0.018407769454627854,-0.003067961575771605,0.0
-0.018407769454627854,-0.0034514567727423895,0.0
-0.018407769454627854,-0.0034514567727423895,0.0
-0.018407769454627854,-0.003067961575771605,0.0
-0.01802427425765707,-0.003067961575771605,0.0
-0.01802427425765707,-0.003067961575771605,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018407769454627854,-0.003067961575771605,0.0
-0.018407769454627854,-0.0034514567727423895,0.0
-0.018407769454627854,-0.003067961575771605,0.0
-0.018407769454627854,-0.003067961575771605,0.0
-0.018407769454627854,-0.0034514567727423895,0.0
-0.018407769454627854,-0.003067961575771605,0.0003834951969707845
-0.018407769454627854,-0.003067961575771605,0.0
-0.018407769454627854,-0.0034514567727423895,0.0003834951969707845
-0.018791264651598638,-0.003067961575771605,0.0
-0.018407769454627854,-0.003067961575771605,0.0
-0.018407769454627854,-0.003067961575771605,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018407769454627854,-0.003067961575771605,0.0
-0.018791264651598638,-0.003067961575771605,0.0
-0.018791264651598638,-0.003067961575771605,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.003067961575771605,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.003067961575771605,0.0
-0.018407769454627854,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.003067961575771605,0.0
-0.018791264651598638,-0.003067961575771605,0.0
-0.018791264651598638,-0.003067961575771605,0.0
-0.018791264651598638,-0.003067961575771605,0.0
-0.018791264651598638,-0.003067961575771605,0.0003834951969707845
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.003067961575771605,0.0003834951969707845
-0.018791264651598638,-0.003067961575771605,0.0003834951969707845
-0.018791264651598638,-0.003067961575771605,0.0
-0.018407769454627854,-0.003067961575771605,0.0
-0.018407769454627854,-0.0034514567727423895,0.0003834951969707845
-0.018791264651598638,-0.003067961575771605,0.0
-0.018791264651598638,-0.003067961575771605,0.0
-0.018791264651598638,-0.003067961575771605,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.003067961575771605,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.003067961575771605,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018407769454627854,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.003067961575771605,0.0
-0.018407769454627854,-0.0034514567727423895,0.0
-0.018407769454627854,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018407769454627854,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.0191747598485712,-0.0034514567727423895,0.0
-0.018407769454627854,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018407769454627854,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.0191747598485712,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0003834951969707845
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0038349519697149503,0.0003834951969707845
-0.0191747598485712,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0038349519697149503,0.0
-0.018407769454627854,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0003834951969707845
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.0191747598485712,-0.0034514567727423895,0.0
-0.0191747598485712,-0.0034514567727423895,0.0
-0.018791264651598638,-0.003067961575771605,0.0003834951969707845
-0.018791264651598638,-0.0038349519697149503,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.0191747598485712,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.0191747598485712,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0038349519697149503,0.0003834951969707845
-0.018791264651598638,-0.0034514567727423895,0.0
-0.0191747598485712,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0038349519697149503,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.0191747598485712,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0038349519697149503,0.0
-0.018791264651598638,-0.0038349519697149503,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.0191747598485712,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0038349519697149503,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.0191747598485712,-0.0034514567727423895,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0034514567727423895,0.0
-0.0191747598485712,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0003834951969707845
-0.018791264651598638,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0034514567727423895,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.0191747598485712,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0038349519697149503,0.0
-0.018791264651598638,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.0191747598485712,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0038349519697149503,0.0003834951969707845
-0.018791264651598638,-0.0034514567727423895,0.0
-0.0191747598485712,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.0191747598485712,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0038349519697149503,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.018791264651598638,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.018791264651598638,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0034514567727423895,0.0
-0.0191747598485712,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0034514567727423895,0.0
-0.0191747598485712,-0.0038349519697149503,0.0003834951969707845
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0038349519697149503,0.0003834951969707845
-0.018791264651598638,-0.0038349519697149503,0.0
-0.018791264651598638,-0.0038349519697149503,0.0
-0.018791264651598638,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0034514567727423895,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0034514567727423895,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0034514567727423895,0.0003834951969707845
-0.018791264651598638,-0.0034514567727423895,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0034514567727423895,0.0
-0.0191747598485712,-0.0034514567727423895,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.018791264651598638,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0034514567727423895,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0034514567727423895,0.0
-0.0191747598485712,-0.0038349519697149503,0.0003834951969707845
-0.0191747598485712,-0.0038349519697149503,0.0003834951969707845
-0.0191747598485712,-0.0034514567727423895,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0034514567727423895,0.0
-0.018791264651598638,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.018791264651598638,-0.0038349519697149503,0.0003834951969707845
-0.0191747598485712,-0.0034514567727423895,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.018791264651598638,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.018791264651598638,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0034514567727423895,0.0
-0.0191747598485712,-0.0038349519697149503,0.0003834951969707845
-0.0191747598485712,-0.0038349519697149503,0.0
-0.018791264651598638,-0.0038349519697149503,0.0003834951969707845
-0.0191747598485712,-0.0034514567727423895,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0003834951969707845
-0.0191747598485712,-0.0038349519697149503,0.0
-0.018791264651598638,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0034514567727423895,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0003834951969707845
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.004218447166685735,0.0
-0.0191747598485712,-0.004218447166685735,0.0
-0.018791264651598638,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.019558255045541983,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0003834951969707845
-0.019558255045541983,-0.0034514567727423895,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.019558255045541983,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.004218447166685735,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.019558255045541983,-0.0038349519697149503,0.0003834951969707845
-0.0191747598485712,-0.004218447166685735,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.0038349519697149503,0.0
-0.0191747598485712,-0.004218447166685735,0.0
-0.0191747598485712,-0.004218447166685735,0.0
-0.0191747598485712,-0.004218447166685735,0.0
